2025-01-24 12:30:38 : ----- 程序启动 
2025-01-24 12:30:40 : ----- DEBUG 日志文件存在
2025-01-24 12:30:40 : ----- DEBUG 日志文件存在
2025-01-24 12:30:41 : ----- INFO: 控件初始化成功
2025-01-24 12:30:41 : ----- INFO: 数据库初始化成功
2025-01-24 12:30:41 : ----- INFO: 组数据初始化成功
2025-01-24 12:30:41 : ----- INFO: 主机数据初始化成功
2025-01-24 12:30:41 : ----- INFO: 主机数据初始化成功
2025-01-24 12:30:41 : ----- INFO: 程序初始化成功
2025-01-24 12:30:50 : ----- INFO: 事件触发：新建分组
2025-01-24 12:30:57 : ----- INFO: 根节点等于根节点，分组添加到根节点
2025-01-24 12:30:57 : ----- INFO: 组数据初始化成功
2025-01-24 12:30:57 : ----- INFO: 分组添加成功
2025-01-24 12:30:59 : ----- INFO: 事件触发：新建分组
2025-01-24 12:31:06 : ----- INFO: 根节点等于根节点，分组添加到根节点
2025-01-24 12:31:06 : ----- INFO: 组数据初始化成功
2025-01-24 12:31:06 : ----- INFO: 分组添加成功
2025-01-24 12:31:08 : ----- INFO: 事件触发：新建分组
2025-01-24 12:31:19 : ----- INFO: 事件触发：新建分组
2025-01-24 12:31:24 : ----- INFO: 事件触发：新建分组
2025-01-24 12:31:32 : ----- INFO: 事件触发：新建分组
2025-01-24 12:31:38 : ----- INFO: 根节点等于根节点，分组添加到根节点
2025-01-24 12:31:38 : ----- INFO: 组数据初始化成功
2025-01-24 12:31:38 : ----- INFO: 分组添加成功
2025-01-24 12:31:41 : ----- INFO: 事件触发：添加主机window
2025-01-24 12:47:36 : ----- DEBUG 日志文件存在
2025-01-24 12:47:36 : ----- 程序启动 
2025-01-24 12:47:36 : ----- DEBUG 日志文件存在
2025-01-24 12:47:36 : ----- DEBUG 日志文件存在
2025-01-24 12:47:36 : ----- INFO: 控件初始化成功
2025-01-24 12:47:36 : ----- INFO: 数据库初始化成功
2025-01-24 12:47:36 : ----- INFO: 组数据初始化成功
2025-01-24 12:47:36 : ----- INFO: 主机数据初始化成功
2025-01-24 12:47:36 : ----- INFO: 主机数据初始化成功
2025-01-24 12:47:36 : ----- INFO: 程序初始化成功
2025-01-24 12:48:04 : ----- INFO: 事件触发：添加主机window
2025-01-24 12:48:26 : ----- ERROR: 未选择分组，添加失败
2025-01-24 12:48:37 : ----- INFO: 事件触发：添加主机window
2025-01-24 12:48:49 : ----- INFO: 主机数据初始化成功
2025-01-24 12:48:49 : ----- INFO: 主机数据初始化成功
2025-01-24 12:48:51 : ----- INFO: 服务器：主机名:192.1.1.136，ip地址：192.1.1.136,端口:3389，用户名：administrator,密码：jw_PIS1234,说明： 
添加成功
2025-01-24 12:48:58 : ----- INFO: 事件触发：连接主机
2025-01-24 12:49:03 : ----- INFO: 事件触发：连接主机
2025-01-24 12:50:29 : ----- DEBUG 日志文件存在
2025-01-24 12:50:29 : ----- 程序启动 
2025-01-24 12:50:29 : ----- DEBUG 日志文件存在
2025-01-24 12:50:29 : ----- DEBUG 日志文件存在
2025-01-24 12:50:29 : ----- INFO: 控件初始化成功
2025-01-24 12:50:29 : ----- INFO: 数据库初始化成功
2025-01-24 12:50:29 : ----- INFO: 组数据初始化成功
2025-01-24 12:50:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:50:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:50:29 : ----- INFO: 程序初始化成功
2025-01-24 12:50:32 : ----- INFO: 事件触发：连接主机
2025-01-24 12:52:46 : ----- DEBUG 日志文件存在
2025-01-24 12:52:46 : ----- 程序启动 
2025-01-24 12:52:47 : ----- DEBUG 日志文件存在
2025-01-24 12:52:47 : ----- DEBUG 日志文件存在
2025-01-24 12:52:47 : ----- INFO: 控件初始化成功
2025-01-24 12:52:47 : ----- INFO: 数据库初始化成功
2025-01-24 12:52:47 : ----- INFO: 组数据初始化成功
2025-01-24 12:52:47 : ----- INFO: 主机数据初始化成功
2025-01-24 12:52:47 : ----- INFO: 主机数据初始化成功
2025-01-24 12:52:47 : ----- INFO: 程序初始化成功
2025-01-24 12:52:49 : ----- INFO: 事件触发：连接主机
2025-01-24 12:55:57 : ----- DEBUG 日志文件存在
2025-01-24 12:55:57 : ----- 程序启动 
2025-01-24 12:55:57 : ----- DEBUG 日志文件存在
2025-01-24 12:55:57 : ----- DEBUG 日志文件存在
2025-01-24 12:55:57 : ----- INFO: 控件初始化成功
2025-01-24 12:55:58 : ----- INFO: 数据库初始化成功
2025-01-24 12:55:58 : ----- INFO: 组数据初始化成功
2025-01-24 12:55:58 : ----- INFO: 主机数据初始化成功
2025-01-24 12:55:58 : ----- INFO: 主机数据初始化成功
2025-01-24 12:55:58 : ----- INFO: 程序初始化成功
2025-01-24 12:56:01 : ----- INFO: 事件触发：连接主机
2025-01-24 12:56:21 : ----- INFO: 事件触发：连接主机
2025-01-24 12:56:24 : ----- INFO: 事件触发：连接主机
2025-01-24 12:56:38 : ----- INFO: 事件触发：连接主机
2025-01-24 12:58:29 : ----- DEBUG 日志文件存在
2025-01-24 12:58:29 : ----- 程序启动 
2025-01-24 12:58:29 : ----- DEBUG 日志文件存在
2025-01-24 12:58:29 : ----- DEBUG 日志文件存在
2025-01-24 12:58:29 : ----- INFO: 控件初始化成功
2025-01-24 12:58:29 : ----- INFO: 数据库初始化成功
2025-01-24 12:58:29 : ----- INFO: 组数据初始化成功
2025-01-24 12:58:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:58:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:58:29 : ----- INFO: 程序初始化成功
2025-01-24 12:58:33 : ----- INFO: 事件触发：连接主机
2025-01-24 12:59:29 : ----- DEBUG 日志文件存在
2025-01-24 12:59:29 : ----- 程序启动 
2025-01-24 12:59:29 : ----- DEBUG 日志文件存在
2025-01-24 12:59:29 : ----- DEBUG 日志文件存在
2025-01-24 12:59:29 : ----- INFO: 控件初始化成功
2025-01-24 12:59:29 : ----- INFO: 数据库初始化成功
2025-01-24 12:59:29 : ----- INFO: 组数据初始化成功
2025-01-24 12:59:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:59:29 : ----- INFO: 主机数据初始化成功
2025-01-24 12:59:29 : ----- INFO: 程序初始化成功
2025-01-24 12:59:33 : ----- INFO: 事件触发：连接主机
2025-01-24 13:02:36 : ----- DEBUG 日志文件存在
2025-01-24 13:02:36 : ----- 程序启动 
2025-01-24 13:02:36 : ----- DEBUG 日志文件存在
2025-01-24 13:02:36 : ----- DEBUG 日志文件存在
2025-01-24 13:02:37 : ----- INFO: 控件初始化成功
2025-01-24 13:02:37 : ----- INFO: 数据库初始化成功
2025-01-24 13:02:37 : ----- INFO: 组数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 程序初始化成功
2025-01-24 13:02:38 : ----- INFO: 事件触发：连接主机
2025-01-24 13:04:11 : ----- DEBUG 日志文件存在
2025-01-24 13:04:11 : ----- 程序启动 
2025-01-24 13:04:12 : ----- DEBUG 日志文件存在
2025-01-24 13:04:12 : ----- DEBUG 日志文件存在
2025-01-24 13:04:12 : ----- INFO: 控件初始化成功
2025-01-24 13:04:12 : ----- INFO: 数据库初始化成功
2025-01-24 13:04:12 : ----- INFO: 组数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 程序初始化成功
2025-01-24 13:04:14 : ----- INFO: 事件触发：连接主机
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- 程序启动 
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- INFO: 控件初始化成功
2025-01-24 13:06:35 : ----- INFO: 数据库初始化成功
2025-01-24 13:06:35 : ----- INFO: 组数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 主机数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 主机数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 程序初始化成功
2025-01-24 13:06:42 : ----- INFO: 事件触发：连接主机
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- 程序启动 
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- INFO: 控件初始化成功
2025-01-24 13:07:34 : ----- INFO: 数据库初始化成功
2025-01-24 13:07:34 : ----- INFO: 组数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 程序初始化成功
2025-01-24 13:07:37 : ----- INFO: 事件触发：连接主机
2025-01-24 13:07:53 : ----- DEBUG 日志文件存在
2025-01-24 13:07:53 : ----- 程序启动 
2025-01-24 13:07:54 : ----- DEBUG 日志文件存在
2025-01-24 13:07:54 : ----- DEBUG 日志文件存在
2025-01-24 13:07:54 : ----- INFO: 控件初始化成功
2025-01-24 13:07:54 : ----- INFO: 数据库初始化成功
2025-01-24 13:07:54 : ----- INFO: 组数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 程序初始化成功
2025-01-24 13:07:56 : ----- INFO: 事件触发：连接主机
